NR_name,tracer_id,date_started,date_completed,comments,ConnID,Conn_x,Conn_y,Conn_z,Pre_skel,Post_skel,URL
,,,,,848846.0,346832.0,241708.0,9480.0,53858.0,1210822.0,http://catmaid.hms.harvard.edu/?pid=1012&zp=9480.0&yp=241708.0&xp=346832.0&tool=tracingtool&sid0=6&s0=-2
,,,,,849484.0,346504.0,234776.0,14080.0,53858.0,1211056.0,http://catmaid.hms.harvard.edu/?pid=1012&zp=14080.0&yp=234776.0&xp=346504.0&tool=tracingtool&sid0=6&s0=-2
,,,,,854762.0,311484.0,392624.0,16480.0,38321.0,950868.0,http://catmaid.hms.harvard.edu/?pid=1012&zp=16480.0&yp=392624.0&xp=311484.0&tool=tracingtool&sid0=6&s0=-2
,,,,,855404.0,313248.0,383988.0,11400.0,38321.0,951990.0,http://catmaid.hms.harvard.edu/?pid=1012&zp=11400.0&yp=383988.0&xp=313248.0&tool=tracingtool&sid0=6&s0=-2
,,,,,883630.0,257136.0,394008.0,27240.0,91013.0,519969.0,http://catmaid.hms.harvard.edu/?pid=1012&zp=27240.0&yp=394008.0&xp=257136.0&tool=tracingtool&sid0=6&s0=-2
,,,,,1032587.0,226496.0,383560.0,27480.0,887610.0,519969.0,http://catmaid.hms.harvard.edu/?pid=1012&zp=27480.0&yp=383560.0&xp=226496.0&tool=tracingtool&sid0=6&s0=-2
,,,,,1032645.0,226416.0,386156.0,27840.0,887610.0,519969.0,http://catmaid.hms.harvard.edu/?pid=1012&zp=27840.0&yp=386156.0&xp=226416.0&tool=tracingtool&sid0=6&s0=-2
,,,,,1032655.0,227124.0,390496.0,27840.0,887610.0,1913582.0,http://catmaid.hms.harvard.edu/?pid=1012&zp=27840.0&yp=390496.0&xp=227124.0&tool=tracingtool&sid0=6&s0=-2
,,,,,1027946.0,269520.0,373052.0,7520.0,9586.0,1128898.0,http://catmaid.hms.harvard.edu/?pid=1012&zp=7520.0&yp=373052.0&xp=269520.0&tool=tracingtool&sid0=6&s0=-2
,,,,,1023600.0,269808.0,451732.0,8600.0,9586.0,72324.0,http://catmaid.hms.harvard.edu/?pid=1012&zp=8600.0&yp=451732.0&xp=269808.0&tool=tracingtool&sid0=6&s0=-2
